code,name,limit_pct,launch_date,end_date,run_length,max_obs_days,total_shares,pre_ret20,pre_vol,pre_amp,vol_ratio_l5_f10,vol_min_ratio,max_dd,gap_ups,ma_align,dist_from_high,last3_ret,last_day_vol_ratio,exch_avg,launch_price,launch_mcap_yi,ma5,ma10,ma20
sh601991,大唐发电,0.1,2026-05-06,2026-05-13,6,6,18506710504.0,0.08533333333333348,0.023334673411256775,0.18614270941054803,1.5993874368265608,0.535406655422093,0.04126213592233008,0,1,-0.055684454756380355,0.0277777777777779,1.2016249761697215,1.3699999999999999,4.49,830.9513016296,4.032,4.003,3.868
sz002918,蒙娜丽莎,0.1,2026-05-08,2026-05-15,6,6,408819913.0,-0.04132231404958686,0.025131415314227214,0.14594666312856563,1.1722110705785116,0.5946363158993566,0.1219512195121952,0,0,-0.13289036544850497,-0.05861136158701541,1.2149585924599686,2.9530000000000003,11.49,46.9734080037,10.828,11.093,11.305499999999999
sz002856,*ST美芝,0.05,2026-05-11,2026-05-15,5,5,135312808.0,0.28116469517743403,0.035807039029468905,0.33694148286807196,2.649363907648814,0.39967855655180634,0.05577689243027897,3,1,-0.034955448937628496,0.021770682148040787,2.0191096655439904,6.569,14.78,19.9992330224,13.84,13.11,12.287
sz001259,利仁科技,0.1,2026-05-11,2026-05-20,8,8,73588888.0,0.18144525086778152,0.018768814994968835,0.23221480638513828,2.7833834552717804,0.505437732297313,0.03281792363521624,0,1,-0.009785770960063596,0.09409701928696657,1.2171176927251866,3.0614999999999997,41.2,30.318621856000004,35.61,33.842,32.513
sz002514,*ST宝馨,0.05,2026-05-11,2026-05-20,8,8,720034264.0,-0.30641330166270786,0.03916728042836293,0.3911375170194331,0.5186374817855631,0.06969611025325896,0.3482142857142858,0,0,-0.35111111111111115,-0.14117647058823535,1.0696165776051068,2.4050000000000002,3.07,22.1050519048,3.28,3.726,4.0395
sh603378,*ST亚士,0.05,2026-05-12,2026-05-18,5,5,428596642.0,-0.20216606498194944,0.033243134108908334,0.2918069584736251,2.2181283973213843,0.015237787088544221,0.2366148531951641,0,0,-0.23924268502581753,-0.1070707070707071,8.223234673945242,2.134,4.64,19.8868841888,4.75,5.193,5.346
sh603779,威龙股份,0.1,2026-05-13,2026-05-21,7,7,332082754.0,0.21138211382113825,0.035501952062374977,0.274037325773683,3.488465624635114,0.3301392234630747,0.05853658536585371,0,1,-0.005340453938584784,0.1640625,3.5575487900516922,3.214,8.2,27.230785828,6.82,6.5409999999999995,6.3495
sh600162,香江控股,0.1,2026-05-25,2026-05-29,5,5,3268438122.0,-0.016949152542372947,0.022569680171953134,0.14762165117550574,0.8792274471279494,0.5439340694378019,0.10309278350515462,0,0,-0.11675126903553298,-0.05945945945945952,1.1441948844997232,1.236,1.91,62.427168130199995,1.794,1.842,1.829
sh600726,华电能源,0.1,2026-05-25,2026-05-29,5,5,7907336210.0,0.313152400835073,0.06696447503411596,0.6605077471448317,0.4738759170677054,0.32576617099836463,0.269185360094451,2,0,-0.3057395143487859,-0.10142857142857142,0.32576617099836463,5.229,6.92,547.1876657319999,6.578,7.248,6.8735
sz002323,*ST雅博,0.05,2026-05-25,2026-06-01,6,6,2120855142.0,-0.44976076555023925,0.03471899507320433,0.695538057742782,2.9905728989307288,0.015383001342706544,0.44976076555023925,0,0,-0.46511627906976744,-0.08730158730158732,1.1609812492540346,5.617,1.21,25.662347218199997,1.194,1.247,1.524
sh600745,*ST闻泰,0.05,2026-05-25,2026-06-02,7,7,1273869249.0,-0.4438722966014418,0.03020953538147008,0.6906991328417275,2.270807204343408,0.017231725644393094,0.4516792323509253,0,0,-0.48026948989412904,-0.038004750593824244,3.2945164100203037,2.544,17.01,216.68515925490001,16.714,18.72,23.1215
sh600265,*ST景谷,0.05,2026-05-26,2026-06-03,7,7,129800000.0,-0.006422924901185678,0.026837363327144658,0.18740768094534724,0.4395834596662605,0.07613038439179007,0.1365392872477458,2,0,-0.15822519882796154,-0.048722800378429576,0.8550597453186849,1.0390000000000001,21.12,27.41376,20.71,21.253999999999998,21.663999999999998
